operation_id,date,region,site,revenue,target_revenue,order_volume,operating_cost,downtime_minutes,maintenance_cost,csat_score
OP-00001,2026-03-02,North,NO-01,7995.57,9916.70,69,5090.50,11,356.33,78
OP-00002,2026-03-02,North,NO-02,10463.34,10412.53,78,4964.81,9,546.12,92
OP-00003,2026-03-02,North,NO-03,10956.89,11602.54,93,7101.56,12,781.17,90
OP-00004,2026-03-02,North,NO-04,11055.60,10115.03,107,5530.42,10,276.52,93
OP-00005,2026-03-02,North,NO-05,9574.94,8429.20,96,6410.26,8,448.71,83
OP-00006,2026-03-03,North,NO-01,8291.70,9420.86,78,4713.43,9,235.67,93
OP-00007,2026-03-03,North,NO-02,10068.49,9718.37,104,6661.64,8,466.31,92
OP-00008,2026-03-03,North,NO-03,12240.13,12098.37,92,7541.48,8,829.56,77
OP-00009,2026-03-03,North,NO-04,10167.20,10015.87,114,5467.58,12,601.43,94
OP-00010,2026-03-03,North,NO-05,8094.28,12395.87,103,7792.87,9,389.64,90
OP-00011,2026-03-04,North,NO-01,8291.70,11305.04,83,6033.19,8,542.98,96
OP-00012,2026-03-04,North,NO-02,7699.44,10115.03,100,7730.02,9,695.70,84
OP-00013,2026-03-04,North,NO-03,9180.10,10511.70,103,7290.10,12,437.40,87
OP-00014,2026-03-04,North,NO-04,9969.78,11503.37,91,7352.95,9,367.64,95
OP-00015,2026-03-04,North,NO-05,9969.78,7933.36,113,7164.41,12,644.79,92
OP-00016,2026-03-05,North,NO-01,12042.71,11503.37,103,7667.17,7,690.04,92
OP-00017,2026-03-05,North,NO-02,9180.10,10115.03,102,6913.03,12,345.65,88
OP-00018,2026-03-05,NORTH,NO-03,8192.99,9123.36,98,7290.10,8,364.50,83
OP-00019,2026-03-05,North,NO-04,7502.01,9817.53,79,5718.96,12,457.51,88
OP-00020,2026-03-05,North,NO-05,9772.36,11503.37,90,5593.27,11,671.19,78
OP-00021,2026-03-06,North,NO-01,10167.20,9222.53,81,6850.18,12,616.51,92
OP-00022,2026-03-06,North,NO-02,7502.01,10015.87,79,4901.96,9,343.13,82
OP-00023,2026-03-06,North,NO-03,12240.13,8330.03,73,7101.56,8,781.17,90
OP-00024,2026-03-06,North,NO-04,11450.44,8925.03,104,6535.95,10,522.87,87
OP-00025,2026-03-06,North,NO-05,10068.49,10908.37,111,5027.66,10,502.76,84
OP-00026,2026-03-09,North,NO-01,8390.41,8032.53,81,5341.88,8,534.18,96
OP-00027,2026-03-09,North,NO-02,9377.52,10214.20,100,6787.33,12,407.23,96
OP-00028,2026-03-09,North,NO-03,7798.15,12296.71,93,6284.57,11,439.91,84
OP-00029,2026-03-09,North,NO-04,10956.89,10511.70,73,7415.79,9,741.57,83
OP-00030,2026-03-09,North,NO-05,11253.02,7933.36,113,5467.58,10,656.10,87
OP-00031,2026-03-10,North,NO-01,11647.86,8429.20,84,5341.88,8,641.02,96
OP-00032,2026-03-10,North,NO-02,7798.15,7933.36,79,4964.81,10,595.77,90
OP-00033,2026-03-10,North,NO-03,11351.73,8429.20,100,7164.41,10,358.22,88
OP-00034,2026-03-10,North,NO-04,8587.83,9420.86,88,6284.57,12,754.14,76
OP-00035,2026-03-10,North,NO-05,9871.07,8528.36,82,6661.64,9,466.31,91
OP-00036,2026-03-11,North,NO-01,11746.58,8528.36,103,5593.27,12,671.19,90
OP-00037,2026-03-11,North,NO-02,7699.44,11106.70,81,7541.48,9,377.07,94
OP-00038,2026-03-11,North,NO-03,8982.68,10015.87,103,5844.65,10,642.91,95
OP-00039,2026-03-11,North,NO-04,8390.41,11999.21,94,6598.80,8,659.88,
OP-00040,2026-03-11,North,NO-05,7403.30,11106.70,95,5404.73,10,594.52,88
OP-00041,2026-03-12,North,NO-01,8883.96,10313.37,82,5404.73,8,432.37,76
OP-00042,2026-03-12,North,NO-02,10759.47,10610.87,95,4839.12,10,532.30,92
